[12-Feb-2016 10:51:16 Europe/Kiev] PHP Notice:  Undefined index: parent_id in /var/www/engine.loc/models/engine/ContentTypes.php on line 40
[12-Feb-2016 11:26:36 Europe/Kiev] PHP Warning:  unlink(/var/www/engine.loc/themes/default/views/content_type/a/ab3): Немає такого файла або каталогу in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 231
[12-Feb-2016 15:55:41 Europe/Kiev] PHP Warning:  unlink(/var/www/engine.loc/themes/default/views/content_type/a/ab.tpl): Немає такого файла або каталогу in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 232
[12-Feb-2016 16:15:35 Europe/Kiev] PHP Warning:  file_get_contents(/var/www/engine.loc/themes/default/views/content_type/ad.tpl): failed to open stream: Немає такого файла або каталогу in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 275
[12-Feb-2016 16:16:38 Europe/Kiev] PHP Warning:  file_get_contents(/var/www/engine.loc/themes/default/views/content_type/ad.tpl): failed to open stream: Немає такого файла або каталогу in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 277
[12-Feb-2016 16:23:12 Europe/Kiev] PHP Warning:  file_get_contents(/var/www/engine.loc/themes/default/views/content_type/a//var/www/engine.loc/themes/default/views/content_type/a/ad.tpl.tpl): failed to open stream: Немає такого файла або каталогу in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 283
[12-Feb-2016 16:23:47 Europe/Kiev] PHP Warning:  file_get_contents(/var/www/engine.loc/themes/default/views/content_type/a//var/www/engine.loc/themes/default/views/content_type/a/ad.tpl): failed to open stream: Немає такого файла або каталогу in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 283
[12-Feb-2016 16:42:55 Europe/Kiev] PHP Notice:  Undefined index: id in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 193
[12-Feb-2016 16:52:37 Europe/Kiev] PHP Warning:  rename(ada,adaa): Немає такого файла або каталогу in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 258
[12-Feb-2016 16:52:37 Europe/Kiev] PHP Warning:  file_put_contents(/var/www/engine.loc/themes/default/views/content_type/a/a/adaa.tpl): failed to open stream: Немає такого файла або каталогу in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 320
[12-Feb-2016 16:53:51 Europe/Kiev] PHP Warning:  file_get_contents(/var/www/engine.loc/themes/default/views/content_type/a/adaa.tpl): failed to open stream: Немає такого файла або каталогу in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 302
[12-Feb-2016 16:55:09 Europe/Kiev] PHP Warning:  rename(aaaa.tpl,aaaa1.tpl): Немає такого файла або каталогу in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 258
[12-Feb-2016 16:55:09 Europe/Kiev] PHP Warning:  file_put_contents(/var/www/engine.loc/themes/default/views/content_type/a/a/aaaa1.tpl): failed to open stream: Немає такого файла або каталогу in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 320
[12-Feb-2016 16:55:41 Europe/Kiev] PHP Warning:  file_put_contents(/var/www/engine.loc/themes/default/views/content_type/a/a/ae1.tpl): failed to open stream: Немає такого файла або каталогу in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 320
[12-Feb-2016 17:17:54 Europe/Kiev] PHP Warning:  file_put_contents(/var/www/engine.loc/themes/default/views/content_type/blog/category.tpl): failed to open stream: Немає такого файла або каталогу in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 304
[12-Feb-2016 18:01:14 Europe/Kiev] PHP Warning:  chown(): Дію заборонено in /var/www/engine.loc/controllers/engine/ContentTypes.php on line 288
[23-Feb-2016 11:18:05 Europe/Kiev] PHP Warning:  touch(): Utime failed: Відмовлено у доступі in /var/www/engine.loc/vendor/smarty/sysplugins/smarty_internal_template.php on line 192
[23-Feb-2016 12:27:34 Europe/Kiev] PHP Notice:  Array to string conversion in /var/www/engine.loc/models/core/DB.php on line 216
[23-Feb-2016 12:27:34 Europe/Kiev] PHP Notice:  unserialize(): Error at offset 0 of 5 bytes in /var/www/engine.loc/models/engine/ContentTypes.php on line 29
[23-Feb-2016 12:28:17 Europe/Kiev] PHP Notice:  unserialize(): Error at offset 0 of 5 bytes in /var/www/engine.loc/models/engine/ContentTypes.php on line 29
[23-Feb-2016 12:28:17 Europe/Kiev] PHP Notice:  unserialize(): Error at offset 0 of 5 bytes in /var/www/engine.loc/models/engine/ContentTypes.php on line 29
[23-Feb-2016 12:29:22 Europe/Kiev] PHP Notice:  unserialize(): Error at offset 0 of 5 bytes in /var/www/engine.loc/models/engine/ContentTypes.php on line 29
[23-Feb-2016 12:29:22 Europe/Kiev] PHP Notice:  unserialize(): Error at offset 0 of 5 bytes in /var/www/engine.loc/models/engine/ContentTypes.php on line 29
